Index,Name,Language,Comment,STATUS,Pubs,SUBURB,STATE,DATECLOSED,ADDRESS,PostalCode,,,,,
61,Salisbury Heights,,,revoked,73,Golden Grove,SA,2018-06-01,Golden Way & Botany Dr,5125,,,,,
62,Speers Point,,,revoked,89,Warners Bay,NSW,2019-12-01,21 East St,,,,,,
63,Springwood,,,revoked,50,Warrimoo,NSW,2018-04-01,19 Greens Road,2774,,,,,
64,Stanmore Greek,G,,revoked,51,Marrickville,NSW,2017-06-01,315 Enmore Road,2204,,,,,
65,Stawell,,,revoked,,Stawell,VIC,2021-06-10,46 Leslie Street,,,,,,
66,Stirling,,,revoked,94,Doubleview,WA,2019-03-01,224 Woodside St,,,,,,
67,Sunshine West Yugoslav,C,,revoked,59,West Sunshine,VIC,2016-02-01,27-33 Fraser Street ,3020,,,,,
68,Swan View,,,revoked,70,Middle Swan,WA,2018-03-01,14 Francis Street,6056,,,,,
69,Tara,,,revoked,,Tara,Old,2022-03-01,12-14 Tucker St.,,,,,,
70,Tempe Greek,G,,revoked,,Rockdale,NSW,2020-10-01,1-3 Villiers Street,,,,,,
71,Terranora,,,revoked,138,Tweed Heads,NSW,2018-03-01,135 Piggabeen Road ,2485,,,,,
72,Tom Price,,,revoked,15,Tom Price,WA,2019-04-01,318 Allambi Way,,,,,,
73,Triabunna,,,revoked,,Triabunna,TAS,2021-12-01,64 Charles Street,,,,,,
74,Ulverstone,,,revoked,80,Ulverstone,Tas.,2019-09-01,22 Allambie Crescent,,,,,,
75,Warwick,,,revoked,116,Balga,WA,2019-03-01,13 Wallington Rd,,,,,,
76,Weipa,,,revoked,20,Rocky Point,QLD,2019-05-01,Lot 358 Nothern Avenue,,,,,,
77,Wishart,,,revoked,98,Upper Mt Gravatt,QLD,2019-05-01,64 Hertford St.,,,,,,
78,Woodend,,,revoked,40,Woodend,Vic,2020-04-01,High Street,,,,,,
79,Corryong,,,revoked,,Corryong,Vic,2021-08-01,29 Hanson street,,,,,,
80,Adelaide South Mandarin,CHM,,revoked,,Clarence Gardens,SA,2022-10-01,11-13 Albert Street,,,,,,
81,Maddington,,,revoked,,Gosnells,WA,2022-10-01,1 Glennis Close,,,,,,
82,Melbourne West Tigrinya,TI,,revoked,,Sunshine,Vic,2023-03-01,27-33 Fraser Street,,,,,,
83,Condobolin,,,revoked,,Condobolin,NSW,2023-03-01,17 Gum Bend Road,,,,,,
84,Mundubbura,,,revoked,,Mundubbura,Qld,2023-04-01,5 Landy Street,,,,,,
85,Melbourne City Japanese,J,,revoked,,Brunswick,Vic,2023-04-20,265 Brunswick Road,,,,,,
